Team1,Team2,Winner,Margin,Ground,Match Date,T-20 Int Match
India,Pakistan,India,5 runs,Johannesburg,9/24/2007,T20I # 46
Australia,India,India,15 runs,Durban,9/22/2007,T20I # 45
New Zealand,Pakistan,Pakistan,6 wickets,Cape Town,9/22/2007,T20I # 44
South Africa,India,India,37 runs,Durban,9/20/2007,T20I # 43
Bangladesh,Pakistan,Pakistan,4 wickets,Cape Town,9/20/2007,T20I # 42
Australia,Sri Lanka,Australia,10 wickets,Cape Town,9/20/2007,T20I # 41
England,India,India,18 runs,Durban,9/19/2007,T20I # 40
South Africa,New Zealand,South Africa,6 wickets,Durban,9/19/2007,T20I # 39
Bangladesh,Sri Lanka,Sri Lanka,64 runs,Johannesburg,9/18/2007,T20I # 38
Australia,Pakistan,Pakistan,6 wickets,Johannesburg,9/18/2007,T20I # 37
England,New Zealand,New Zealand,5 runs,Durban,9/18/2007,T20I # 36
Pakistan,Sri Lanka,Pakistan,33 runs,Johannesburg,9/17/2007,T20I # 35
South Africa,England,South Africa,19 runs,Cape Town,9/16/2007,T20I # 34
Australia,Bangladesh,Australia,9 wickets,Cape Town,9/16/2007,T20I # 33
India,New Zealand,New Zealand,10 runs,Johannesburg,9/16/2007,T20I # 32
South Africa,Bangladesh,South Africa,7 wickets,Cape Town,9/15/2007,T20I # 31
New Zealand,Sri Lanka,Sri Lanka,7 wickets,Johannesburg,9/15/2007,T20I # 30
India,Pakistan,tied,-,Durban,9/14/2007,T20I # 29
Australia,England,Australia,8 wickets,Cape Town,9/14/2007,T20I # 28
Kenya,Sri Lanka,Sri Lanka,172 runs,Johannesburg,9/14/2007,T20I # 27
India,Scotland,no result,-,Durban,9/13/2007,T20I # 26
England,Zimbabwe,England,50 runs,Cape Town,9/13/2007,T20I # 25
Bangladesh,West Indies,Bangladesh,6 wickets,Johannesburg,9/13/2007,T20I # 24
Australia,Zimbabwe,Zimbabwe,5 wickets,Cape Town,9/12/2007,T20I # 23
Pakistan,Scotland,Pakistan,51 runs,Durban,9/12/2007,T20I # 22
Kenya,New Zealand,New Zealand,9 wickets,Durban,9/12/2007,T20I # 21
